text,label
Congratulations you are shortlisted pay registration fee now,scam
Pay UPI fee urgently to confirm job offer,scam
Limited offer deposit money to get job,scam
You won prize click link and pay fee,scam
Send OTP to verify account immediately,scam
Your interview is scheduled tomorrow at 11 AM,safe
Please join the official meeting link shared by HR,safe
Your application has been received successfully,safe
Thank you for applying we will review your profile,safe
Please find attached your interview schedule,safe
